loan_id,no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
2710,5, Not Graduate, Yes,6700000,23600000,14,854,3000000,3300000,19400000,7500000, Approved
2711,3, Graduate, Yes,7400000,15200000,10,548,16700000,12800000,19300000,4800000, Rejected
2712,1, Not Graduate, No,1200000,2700000,14,779,600000,2200000,2400000,600000, Approved
2713,0, Not Graduate, No,9500000,24800000,2,564,17400000,16000000,19600000,12000000, Approved
2714,5, Not Graduate, Yes,4000000,8200000,2,571,3500000,7700000,9500000,4400000, Approved
2715,0, Not Graduate, Yes,8600000,32600000,8,778,21500000,14100000,33600000,11000000, Approved
2716,4, Graduate, Yes,9100000,28400000,12,808,25800000,11800000,19300000,9700000, Approved
2717,0, Not Graduate, Yes,7100000,18600000,20,770,19200000,13100000,23100000,5100000, Approved
2718,0, Not Graduate, No,9000000,28400000,4,612,0,7200000,26900000,13200000, Approved
2719,3, Graduate, Yes,1400000,2700000,14,819,1200000,1500000,4000000,1300000, Approved
2720,1, Graduate, No,8800000,20200000,6,627,24200000,16100000,17600000,11900000, Approved
2721,3, Not Graduate, Yes,5400000,14700000,4,359,12300000,9900000,15100000,6100000, Rejected
2722,1, Graduate, No,6100000,19100000,6,341,5700000,5900000,12400000,6300000, Rejected
2723,1, Graduate, No,1000000,3600000,4,570,1000000,1300000,3700000,1000000, Approved
2724,3, Graduate, Yes,7700000,18100000,20,736,7800000,14500000,29100000,10000000, Approved
2725,1, Graduate, Yes,6100000,12900000,2,302,8900000,7500000,15600000,7200000, Rejected
2726,2, Not Graduate, Yes,7700000,21000000,12,420,16100000,4300000,27400000,10500000, Rejected
2727,4, Graduate, Yes,4700000,12000000,2,416,5800000,8200000,13000000,6800000, Rejected
2728,2, Graduate, Yes,9100000,34800000,20,836,21300000,10900000,30600000,9900000, Approved
2729,0, Graduate, Yes,5800000,12700000,12,528,8400000,7300000,19600000,7600000, Rejected
2730,4, Not Graduate, No,8500000,24900000,2,405,1900000,400000,21700000,11400000, Rejected
2731,2, Graduate, Yes,9900000,33400000,14,783,16600000,16100000,21000000,9500000, Approved
2732,4, Not Graduate, Yes,2000000,4000000,10,636,2100000,0,4000000,1700000, Approved
2733,1, Not Graduate, Yes,5000000,16800000,6,711,6300000,7600000,16000000,3200000, Approved
2734,1, Graduate, Yes,3200000,11800000,16,848,5500000,3200000,7500000,2300000, Approved
2735,1, Not Graduate, Yes,8000000,27800000,8,804,7900000,1600000,27100000,11800000, Approved
2736,0, Not Graduate, Yes,1200000,2800000,14,892,3200000,100000,3300000,1700000, Approved
2737,2, Not Graduate, Yes,5800000,22800000,14,696,12100000,200000,20800000,4800000, Approved
2738,1, Graduate, No,2500000,7600000,20,888,7400000,4200000,6400000,1900000, Approved
2739,1, Not Graduate, Yes,600000,1400000,10,699,400000,500000,1300000,800000, Approved
2740,5, Graduate, No,4900000,13000000,10,865,13300000,3700000,14700000,6500000, Approved
2741,2, Graduate, Yes,9400000,37300000,14,383,7800000,15900000,27100000,7700000, Rejected
2742,2, Graduate, No,5300000,19300000,16,368,14700000,400000,11600000,3700000, Rejected
2743,5, Not Graduate, No,5100000,15800000,4,607,6000000,7700000,12600000,7000000, Approved
2744,4, Not Graduate, Yes,2900000,8900000,18,827,400000,3400000,11200000,1600000, Approved
2745,1, Graduate, No,9100000,34000000,12,672,8600000,1600000,32700000,8800000, Approved
2746,3, Not Graduate, Yes,8800000,26700000,12,708,16000000,15300000,26900000,9600000, Approved
2747,4, Not Graduate, No,2600000,8800000,10,682,4500000,4700000,10300000,1600000, Approved
2748,1, Graduate, Yes,9700000,25500000,18,741,21900000,6200000,34800000,4900000, Approved
2749,5, Not Graduate, Yes,600000,1200000,8,343,100000,700000,1600000,600000, Rejected
2750,0, Graduate, Yes,4100000,11100000,16,785,6800000,5300000,8500000,4800000, Approved
2751,1, Not Graduate, Yes,8000000,28000000,20,830,22400000,12600000,25600000,10600000, Approved
2752,2, Graduate, No,8800000,26700000,16,696,12900000,15300000,20300000,10900000, Approved
2753,1, Graduate, No,200000,300000,12,697,600000,300000,700000,100000, Approved
2754,0, Graduate, Yes,3800000,11700000,2,351,100000,6700000,12500000,3100000, Approved
2755,3, Graduate, No,6800000,21800000,10,556,16400000,9300000,19100000,5400000, Approved
2756,0, Graduate, No,8600000,31800000,2,895,22600000,15900000,19600000,5100000, Approved
2757,2, Graduate, Yes,2800000,8400000,10,534,8300000,4800000,10600000,1500000, Rejected
2758,0, Graduate, No,8000000,29800000,12,736,600000,15700000,30800000,8400000, Approved
2759,2, Graduate, Yes,2300000,5500000,16,629,4600000,2900000,7000000,1900000, Approved
2760,4, Graduate, Yes,7600000,16200000,20,657,1900000,9300000,28500000,5500000, Approved
2761,2, Graduate, No,2900000,11300000,12,839,700000,5100000,8100000,2600000, Approved
2762,4, Not Graduate, No,7900000,25700000,18,589,4300000,300000,25300000,9800000, Approved
2763,2, Not Graduate, No,1900000,4500000,6,805,2200000,3100000,4800000,2300000, Approved
2764,3, Not Graduate, Yes,4600000,13600000,20,729,1300000,8900000,17200000,5900000, Approved
2765,1, Not Graduate, No,2600000,7700000,6,399,3700000,4300000,8900000,3500000, Rejected
2766,2, Not Graduate, No,2700000,6700000,8,413,7600000,800000,9200000,2300000, Rejected
2767,5, Graduate, Yes,6300000,13200000,16,321,6700000,4000000,15200000,7100000, Rejected
2768,0, Graduate, Yes,2600000,7500000,2,853,4200000,3900000,9600000,1400000, Approved
2769,4, Not Graduate, Yes,7700000,23400000,6,400,3900000,3400000,20800000,10700000, Rejected
2770,0, Graduate, Yes,7400000,16300000,16,630,11200000,13200000,28400000,5300000, Approved
2771,3, Graduate, Yes,7300000,21600000,20,557,1900000,3800000,26400000,9300000, Approved
2772,1, Graduate, No,2900000,7600000,2,358,800000,700000,10100000,2100000, Rejected
2773,3, Graduate, Yes,6600000,16000000,10,510,1200000,4800000,13300000,6300000, Rejected
2774,2, Graduate, Yes,2700000,9600000,14,554,5800000,200000,10200000,1900000, Approved
2775,3, Graduate, Yes,8300000,27700000,4,596,20500000,15400000,21400000,7400000, Approved
2776,0, Graduate, No,4900000,18500000,8,659,8800000,1700000,14700000,4900000, Approved
2777,4, Graduate, Yes,7900000,30700000,10,322,10600000,13200000,30300000,6300000, Rejected
2778,5, Graduate, Yes,8800000,21300000,14,852,8000000,6400000,28500000,9900000, Approved
2779,5, Not Graduate, No,4000000,14100000,18,653,5800000,4100000,9400000,5400000, Approved
2780,4, Graduate, Yes,3900000,9200000,12,737,2800000,2300000,12300000,5200000, Approved
2781,3, Graduate, Yes,7700000,18900000,2,583,9300000,3000000,16700000,9300000, Approved
2782,1, Graduate, Yes,3800000,10000000,16,873,5100000,2800000,10300000,4000000, Approved
2783,5, Graduate, No,8000000,27000000,20,595,4500000,5200000,24800000,10400000, Approved
2784,5, Graduate, Yes,3400000,11300000,20,871,6500000,3900000,9700000,2400000, Approved
2785,5, Graduate, Yes,5500000,18800000,12,603,3300000,700000,21000000,5000000, Approved
2786,0, Not Graduate, No,7700000,29300000,14,801,6200000,11800000,23400000,4700000, Approved
2787,5, Graduate, No,4000000,9400000,4,723,200000,0,12100000,2000000, Approved
2788,5, Not Graduate, Yes,5900000,22600000,18,630,2300000,4200000,16500000,6800000, Approved
2789,0, Not Graduate, Yes,2600000,9900000,20,368,3600000,1500000,5200000,2000000, Rejected
2790,3, Graduate, No,6600000,22200000,12,759,8900000,2200000,18700000,8500000, Approved
2791,0, Not Graduate, Yes,1000000,3000000,18,382,2200000,700000,3500000,900000, Rejected
2792,4, Not Graduate, Yes,800000,2800000,16,645,900000,1400000,2300000,600000, Approved
2793,0, Graduate, No,3200000,6300000,6,878,6700000,5200000,8100000,3600000, Approved
2794,4, Graduate, No,8400000,23400000,12,350,18700000,9100000,27500000,6700000, Rejected
2795,3, Graduate, Yes,5800000,17600000,6,720,4900000,4200000,18800000,6600000, Approved
2796,0, Not Graduate, Yes,7300000,28100000,10,673,13700000,1200000,16300000,8900000, Approved
2797,1, Graduate, No,3900000,8000000,6,448,100000,1900000,9800000,4000000, Rejected
2798,2, Not Graduate, Yes,4600000,16000000,4,720,0,4000000,12300000,4200000, Approved
2799,0, Graduate, No,3600000,12300000,2,300,5200000,3000000,14300000,5400000, Approved
2800,4, Graduate, No,7500000,28700000,20,520,4600000,3500000,15200000,5700000, Rejected
2801,1, Graduate, No,5200000,15000000,12,794,3200000,7200000,16500000,5100000, Approved
2802,3, Graduate, Yes,4400000,10000000,8,875,5900000,5200000,11700000,4100000, Approved
2803,1, Not Graduate, Yes,5100000,12900000,14,533,6700000,6700000,14400000,3900000, Rejected
2804,0, Graduate, No,6000000,23600000,6,776,13800000,2700000,23400000,8800000, Approved
2805,2, Graduate, No,3800000,11400000,6,706,1000000,4000000,12100000,2800000, Approved
2806,3, Graduate, No,2800000,10900000,2,710,600000,2400000,5600000,3600000, Approved
2807,5, Graduate, Yes,6500000,18300000,4,333,8100000,400000,21700000,7000000, Rejected
2808,2, Not Graduate, Yes,1600000,6400000,4,787,1000000,300000,5500000,1100000, Approved
2809,4, Graduate, No,5500000,18600000,12,569,13500000,6200000,19700000,7300000, Approved
2810,0, Graduate, Yes,9600000,20100000,16,427,7200000,2300000,34500000,7400000, Rejected
2811,0, Graduate, No,7000000,27800000,16,640,11500000,3700000,16000000,8200000, Approved
2812,2, Not Graduate, No,4000000,8100000,16,312,3500000,2100000,15100000,3100000, Rejected
2813,1, Not Graduate, Yes,8100000,30900000,12,464,13600000,9800000,17900000,7500000, Rejected
2814,2, Not Graduate, Yes,6600000,22800000,8,490,6100000,10000000,18000000,6400000, Rejected
2815,5, Graduate, No,4100000,10200000,12,431,6200000,2200000,13700000,4300000, Rejected
2816,1, Graduate, No,6600000,24800000,4,500,8600000,4100000,16700000,6100000, Approved
2817,4, Graduate, No,5100000,12200000,14,511,2700000,6000000,18300000,3400000, Rejected
2818,4, Graduate, No,8200000,25200000,18,691,5800000,8900000,28500000,10500000, Approved
2819,1, Not Graduate, Yes,9500000,24400000,14,696,25500000,6700000,29500000,6300000, Approved
2820,0, Not Graduate, Yes,7600000,27600000,2,437,10000000,11200000,27600000,6800000, Approved
2821,2, Not Graduate, Yes,8400000,20800000,12,335,6700000,12300000,18500000,10100000, Rejected
2822,4, Graduate, No,7600000,25100000,4,671,4600000,13200000,27400000,4300000, Approved
2823,4, Not Graduate, Yes,1400000,3700000,12,621,3100000,900000,5100000,1800000, Approved
2824,4, Not Graduate, Yes,2700000,6800000,10,455,4700000,2600000,7400000,2700000, Rejected
2825,1, Graduate, Yes,200000,500000,10,856,500000,200000,500000,200000, Approved
2826,3, Graduate, No,600000,2100000,16,892,700000,400000,2400000,500000, Approved
2827,4, Graduate, No,5200000,12900000,16,819,3400000,4100000,16800000,7500000, Approved
2828,0, Not Graduate, Yes,5100000,11600000,10,308,8700000,1300000,10700000,7000000, Rejected
2829,4, Graduate, Yes,9200000,18600000,2,889,26900000,4200000,33300000,9700000, Approved
2830,5, Not Graduate, No,6500000,23200000,18,713,6700000,1400000,13400000,7200000, Approved
2831,0, Graduate, No,8500000,21000000,6,665,3600000,9600000,27500000,11300000, Approved
2832,4, Not Graduate, No,2000000,6000000,12,837,1300000,1900000,6300000,2300000, Approved
2833,4, Not Graduate, Yes,7500000,18000000,20,395,200000,12800000,23500000,9700000, Rejected
2834,0, Graduate, Yes,7500000,28900000,10,632,21700000,10700000,24700000,9900000, Approved
2835,2, Not Graduate, No,2000000,4300000,16,497,5100000,200000,5700000,2800000, Rejected
2836,3, Graduate, Yes,1400000,2700000,14,694,3800000,200000,3600000,1700000, Approved
2837,1, Not Graduate, Yes,1700000,5600000,2,882,3100000,2600000,6700000,1600000, Approved
2838,2, Graduate, Yes,5300000,14900000,6,504,10600000,2100000,17000000,3200000, Rejected
2839,4, Not Graduate, No,8900000,30100000,2,747,20600000,12900000,20700000,10300000, Approved
2840,3, Graduate, No,9700000,35300000,4,462,11500000,9500000,33700000,7200000, Approved
2841,5, Graduate, No,9000000,25900000,4,538,11100000,11100000,31300000,8100000, Rejected
2842,2, Not Graduate, Yes,8500000,30900000,6,664,5700000,9900000,19800000,7400000, Approved
2843,1, Not Graduate, No,3500000,10900000,4,524,8800000,6200000,13600000,2800000, Approved
2844,1, Not Graduate, No,500000,1400000,6,464,1100000,0,1900000,500000, Rejected
2845,3, Graduate, No,8900000,19100000,6,807,2300000,16500000,29900000,10400000, Approved
2846,2, Not Graduate, Yes,7800000,27200000,18,622,6000000,6000000,26400000,4300000, Approved
2847,5, Not Graduate, Yes,9800000,27800000,6,827,2400000,14900000,32800000,9500000, Approved
2848,0, Graduate, No,5200000,19000000,14,687,11900000,500000,19400000,4400000, Approved
2849,4, Graduate, No,7400000,19400000,16,835,16400000,14200000,23500000,6500000, Approved
2850,3, Graduate, Yes,1200000,3300000,6,772,700000,900000,2900000,1400000, Approved
2851,1, Not Graduate, Yes,1000000,3200000,2,710,100000,200000,3300000,900000, Approved
2852,3, Graduate, Yes,9500000,32500000,14,581,2800000,14300000,36000000,4700000, Approved
2853,3, Not Graduate, No,4500000,11700000,18,775,8700000,2800000,12700000,4500000, Approved
2854,2, Graduate, No,4900000,16000000,12,710,8700000,7100000,10000000,5700000, Approved
2855,3, Not Graduate, Yes,700000,2500000,8,321,1900000,1200000,1700000,400000, Rejected
2856,0, Graduate, No,9400000,28300000,20,761,22500000,14800000,30800000,10100000, Approved
2857,3, Not Graduate, Yes,8300000,31400000,6,674,1000000,1600000,17200000,6100000, Rejected
2858,4, Graduate, Yes,5600000,13000000,4,899,10500000,9100000,11400000,6400000, Approved
2859,5, Not Graduate, Yes,4400000,12300000,8,567,2400000,500000,12900000,6300000, Approved
2860,3, Graduate, No,2100000,5400000,8,771,5200000,3700000,6200000,1000000, Approved
2861,1, Not Graduate, Yes,4400000,10600000,4,360,6600000,7700000,15100000,5000000, Rejected
2862,0, Not Graduate, No,6300000,19600000,6,425,15900000,10400000,13300000,5900000, Rejected
2863,4, Graduate, No,9900000,30000000,18,496,10400000,8000000,29300000,13800000, Rejected
2864,3, Not Graduate, No,700000,1600000,20,705,600000,900000,2300000,700000, Approved
2865,4, Not Graduate, No,3600000,12400000,14,427,10400000,2400000,9100000,2600000, Rejected
2866,1, Not Graduate, Yes,5600000,21000000,2,552,3200000,6300000,22100000,6100000, Approved
2867,3, Not Graduate, Yes,1000000,3700000,8,725,3000000,1300000,4000000,1300000, Approved
2868,5, Graduate, Yes,6400000,15600000,8,553,14200000,2900000,20400000,8000000, Approved
2869,0, Not Graduate, No,8900000,19100000,2,725,8300000,15000000,19000000,8800000, Approved
2870,4, Graduate, No,9900000,26100000,2,481,14500000,5000000,23600000,9300000, Rejected
2871,2, Graduate, Yes,4000000,8600000,4,847,10200000,2700000,14300000,2400000, Approved
2872,0, Not Graduate, Yes,7300000,25700000,10,666,14000000,3100000,29000000,6000000, Approved
2873,1, Not Graduate, No,8100000,25400000,6,477,4500000,13200000,23200000,4400000, Rejected
2874,4, Graduate, Yes,6800000,22100000,4,446,3700000,4600000,18900000,9200000, Approved
2875,0, Not Graduate, Yes,2600000,8200000,8,630,6000000,4900000,7500000,2000000, Approved
2876,5, Not Graduate, Yes,300000,1100000,20,613,600000,400000,700000,200000, Approved
2877,2, Graduate, Yes,2400000,7500000,4,851,3100000,700000,5600000,2400000, Approved
2878,0, Not Graduate, No,6000000,20600000,12,339,3400000,10700000,17200000,8200000, Rejected
2879,4, Graduate, Yes,3800000,11100000,16,857,11300000,7400000,11700000,4700000, Approved
2880,0, Graduate, Yes,7000000,22100000,14,467,10000000,6400000,26100000,5800000, Rejected
2881,0, Graduate, Yes,5400000,12900000,16,355,11200000,3100000,18200000,7400000, Rejected
2882,1, Not Graduate, No,6400000,16400000,6,428,12400000,10900000,23900000,8900000, Rejected
2883,5, Not Graduate, Yes,7000000,24000000,14,450,10300000,5700000,21100000,4700000, Rejected
2884,2, Not Graduate, Yes,2100000,4600000,4,348,5400000,0,7400000,1400000, Rejected
2885,4, Not Graduate, Yes,4400000,15000000,12,459,5700000,800000,11400000,2400000, Rejected
2886,0, Not Graduate, No,8000000,31000000,8,847,4900000,9500000,29600000,5700000, Approved
2887,2, Not Graduate, Yes,3900000,8300000,18,523,800000,300000,9900000,2300000, Rejected
2888,0, Graduate, No,4700000,15200000,10,786,11100000,8000000,9600000,3200000, Approved
2889,0, Graduate, No,6800000,21200000,14,300,0,8700000,16500000,10000000, Rejected
2890,0, Not Graduate, Yes,1800000,6500000,12,728,3500000,0,6100000,1900000, Approved
2891,3, Not Graduate, Yes,8600000,32000000,4,497,11400000,3300000,18600000,4900000, Approved
2892,1, Not Graduate, Yes,3600000,13700000,10,548,9900000,2400000,8900000,4100000, Rejected
2893,1, Graduate, Yes,6800000,22900000,6,576,500000,11100000,13800000,5600000, Approved
2894,3, Graduate, Yes,1100000,4100000,20,863,800000,1100000,3700000,600000, Approved
2895,4, Graduate, Yes,4000000,8400000,8,717,7400000,4900000,11900000,4000000, Approved
2896,1, Graduate, No,2500000,5900000,12,668,7400000,600000,6300000,3700000, Approved
2897,2, Graduate, No,5400000,17400000,10,335,5900000,1400000,18100000,4300000, Rejected
2898,5, Not Graduate, No,6600000,13600000,4,861,11700000,8400000,14600000,5400000, Approved
2899,4, Not Graduate, No,6000000,14900000,2,321,6900000,7700000,18000000,6500000, Rejected
2900,0, Graduate, Yes,2200000,8300000,10,585,3600000,1700000,4300000,1900000, Approved
2901,1, Graduate, No,8800000,18500000,10,704,14400000,3200000,26600000,11300000, Approved
2902,0, Not Graduate, Yes,4000000,10300000,4,819,11100000,1200000,15200000,2600000, Approved
2903,4, Not Graduate, Yes,3600000,12400000,18,494,5300000,100000,10200000,1900000, Rejected
2904,5, Graduate, Yes,8100000,22500000,2,808,4800000,6100000,16900000,6000000, Approved
2905,3, Not Graduate, Yes,5200000,11000000,12,830,8900000,5100000,16000000,7600000, Approved
2906,5, Graduate, No,1100000,2800000,14,473,100000,500000,4200000,700000, Rejected
2907,2, Graduate, No,7500000,29800000,4,392,5500000,2200000,20800000,4000000, Approved
2908,5, Not Graduate, No,7700000,20300000,12,806,21300000,13300000,18900000,9600000, Approved
2909,0, Not Graduate, No,5700000,21400000,8,340,3200000,1900000,17200000,3800000, Rejected
2910,3, Graduate, Yes,5000000,13900000,8,555,12300000,6700000,18100000,4800000, Approved
2911,5, Not Graduate, No,500000,1200000,16,499,600000,600000,1500000,200000, Rejected
2912,3, Graduate, No,8900000,21300000,10,467,18700000,2600000,31800000,8800000, Rejected
2913,1, Not Graduate, No,1700000,6600000,4,797,2800000,1900000,6100000,1300000, Approved
2914,4, Not Graduate, Yes,500000,1300000,18,762,1400000,0,1600000,300000, Approved
2915,3, Not Graduate, Yes,9900000,36500000,16,562,17300000,18500000,22300000,9800000, Approved
2916,1, Graduate, No,8400000,21800000,2,492,4000000,11000000,18200000,6600000, Rejected
2917,3, Not Graduate, Yes,500000,1700000,4,824,500000,600000,1400000,400000, Approved
2918,2, Graduate, No,1700000,5700000,10,602,4900000,2700000,4500000,1800000, Approved
2919,1, Not Graduate, Yes,6500000,18300000,10,722,11900000,8600000,19200000,4500000, Approved
2920,1, Not Graduate, No,8900000,28400000,6,709,21600000,5500000,26200000,7900000, Approved
2921,1, Not Graduate, No,400000,1400000,4,302,200000,100000,1500000,500000, Approved
2922,3, Not Graduate, No,5700000,12300000,6,364,7900000,11000000,20000000,5500000, Rejected
2923,0, Not Graduate, Yes,9600000,23800000,12,389,25200000,15800000,27000000,8300000, Rejected
2924,0, Graduate, Yes,8500000,20000000,16,786,13300000,7400000,17700000,8900000, Approved
2925,0, Graduate, No,4000000,11500000,8,434,4500000,2800000,8400000,5900000, Rejected
2926,2, Not Graduate, Yes,6300000,18100000,6,671,7900000,8200000,13200000,5400000, Approved
2927,3, Graduate, Yes,4000000,14700000,8,376,3000000,6200000,8900000,4200000, Rejected
2928,4, Graduate, No,9400000,32200000,6,898,27600000,11800000,19500000,8600000, Approved
2929,5, Graduate, Yes,4100000,15500000,10,836,10500000,1100000,15200000,3600000, Approved
2930,4, Graduate, Yes,1100000,4400000,6,515,1000000,700000,4300000,1500000, Rejected
2931,3, Not Graduate, No,8700000,24800000,20,360,25300000,8700000,31100000,4300000, Rejected
2932,4, Graduate, Yes,4900000,12800000,2,691,200000,4900000,14700000,7000000, Approved
2933,1, Not Graduate, Yes,2800000,9100000,14,510,2400000,4200000,10400000,3000000, Rejected
2934,0, Graduate, No,9600000,23200000,18,389,1000000,17600000,22200000,8800000, Rejected
2935,3, Graduate, Yes,6900000,19000000,14,348,4200000,3700000,19400000,4900000, Rejected
2936,2, Not Graduate, Yes,2300000,8100000,2,504,1800000,3100000,4600000,3100000, Approved
2937,2, Not Graduate, No,6800000,21300000,20,658,7800000,7000000,25900000,9600000, Approved
2938,1, Not Graduate, Yes,2200000,5400000,16,641,5900000,0,4800000,1200000, Approved
2939,2, Not Graduate, No,5900000,19800000,20,327,7800000,1500000,19700000,8500000, Rejected
2940,1, Graduate, Yes,7000000,20300000,18,726,11600000,13100000,17100000,9000000, Approved
2941,1, Graduate, Yes,9600000,34100000,20,828,26100000,19000000,20800000,12400000, Approved
2942,0, Graduate, No,6500000,14500000,12,755,9000000,11900000,20800000,3400000, Approved
2943,2, Not Graduate, Yes,3800000,7600000,20,788,1700000,5200000,9200000,5600000, Approved
2944,2, Graduate, No,9400000,25100000,20,832,19400000,2100000,22300000,5900000, Approved
2945,0, Not Graduate, No,2100000,8200000,4,554,3900000,3800000,5900000,1700000, Approved
2946,1, Not Graduate, Yes,8500000,26200000,8,811,22800000,6400000,32500000,12700000, Approved
2947,5, Graduate, Yes,3800000,12000000,2,649,6200000,5300000,10300000,4200000, Approved
2948,1, Not Graduate, Yes,3400000,9700000,20,830,3500000,6400000,10300000,4800000, Approved
2949,1, Graduate, Yes,5600000,11700000,6,707,4500000,800000,19000000,3900000, Approved
2950,0, Graduate, Yes,8500000,33700000,10,483,18800000,8900000,29000000,12200000, Rejected
2951,4, Not Graduate, Yes,2100000,5500000,18,349,100000,0,6600000,2000000, Rejected
2952,4, Graduate, No,400000,1500000,4,846,300000,0,1600000,600000, Approved
2953,4, Not Graduate, No,7900000,31500000,20,386,14300000,3800000,23800000,7500000, Rejected
2954,5, Not Graduate, No,6900000,19200000,12,408,10000000,5000000,24900000,9000000, Rejected
2955,0, Not Graduate, Yes,1800000,3900000,2,764,2200000,700000,3500000,1200000, Approved
2956,0, Graduate, Yes,1200000,3200000,18,473,2100000,600000,2400000,1200000, Rejected
2957,3, Not Graduate, No,3600000,9800000,12,654,600000,1300000,7500000,2200000, Approved
2958,1, Graduate, No,7200000,22800000,2,551,15000000,8700000,21300000,9500000, Approved
2959,5, Graduate, No,9400000,21800000,6,850,13300000,11700000,24800000,6800000, Approved
2960,5, Graduate, No,9000000,24200000,4,646,12400000,5500000,18100000,11900000, Approved
2961,1, Not Graduate, Yes,1000000,2100000,8,793,2900000,1300000,2200000,1400000, Approved
2962,3, Not Graduate, No,5600000,19900000,16,551,14000000,4200000,16100000,4500000, Approved
2963,1, Graduate, No,900000,2600000,4,346,400000,700000,2900000,900000, Rejected
2964,5, Not Graduate, Yes,9000000,19100000,14,540,11300000,800000,18300000,4900000, Rejected
2965,2, Not Graduate, No,3100000,9000000,20,892,5000000,5600000,7100000,4000000, Approved
2966,1, Not Graduate, Yes,8000000,20700000,6,570,1000000,11700000,23200000,11300000, Approved
2967,4, Not Graduate, Yes,3500000,11300000,16,874,1400000,3800000,10100000,3700000, Approved
2968,4, Graduate, No,3900000,12600000,8,553,8200000,2500000,12300000,4500000, Approved
2969,2, Graduate, No,9700000,34500000,10,649,10600000,7600000,24800000,5900000, Approved
2970,4, Graduate, No,4500000,15800000,14,439,8900000,6900000,15200000,4400000, Rejected
2971,5, Not Graduate, No,6800000,24800000,8,621,13000000,13500000,23300000,4800000, Approved
2972,2, Not Graduate, No,6300000,18600000,14,872,9900000,11900000,16100000,7500000, Approved
2973,2, Graduate, No,4900000,18500000,8,492,12900000,5000000,10200000,5800000, Rejected
2974,0, Graduate, No,4800000,18600000,6,618,12300000,5900000,16800000,4000000, Approved
2975,5, Graduate, No,7500000,15800000,18,458,7800000,6500000,22400000,8400000, Rejected
2976,5, Not Graduate, No,5200000,13900000,4,422,7800000,4500000,12000000,7000000, Rejected
2977,3, Not Graduate, Yes,9400000,30900000,20,873,22800000,17700000,19300000,9000000, Approved
2978,5, Not Graduate, No,3200000,10000000,14,610,2900000,3800000,8600000,3500000, Approved
2979,1, Not Graduate, Yes,3600000,13200000,20,546,8900000,3600000,13900000,2900000, Rejected
2980,1, Not Graduate, Yes,3400000,7200000,8,741,4300000,6600000,11500000,3900000, Approved
2981,3, Graduate, No,2100000,8200000,6,754,900000,2900000,4900000,1000000, Approved
2982,1, Graduate, No,7200000,15100000,8,379,2600000,8300000,21700000,8200000, Rejected
2983,5, Graduate, No,4500000,16900000,18,455,2700000,2500000,10700000,5600000, Rejected
2984,0, Graduate, Yes,2600000,9000000,20,615,6800000,0,8400000,3400000, Approved
2985,4, Graduate, Yes,6400000,21700000,10,384,16500000,8200000,15100000,5700000, Rejected
2986,0, Graduate, No,6400000,25100000,16,628,16100000,2900000,18100000,6400000, Approved
2987,3, Graduate, No,3100000,11200000,16,865,3600000,4600000,6600000,4200000, Approved
2988,2, Graduate, No,1800000,5300000,2,679,1000000,1400000,5800000,900000, Approved
2989,1, Graduate, Yes,9300000,19000000,14,689,24000000,11500000,35100000,9000000, Approved
2990,5, Not Graduate, Yes,6500000,13800000,10,636,13000000,5500000,19400000,8100000, Approved
2991,1, Not Graduate, No,3100000,6600000,20,837,4000000,4200000,12300000,4300000, Approved
2992,3, Not Graduate, No,2300000,8500000,12,557,3600000,1400000,6200000,1300000, Approved
2993,2, Graduate, No,500000,1700000,10,324,300000,300000,1800000,700000, Rejected
2994,0, Not Graduate, Yes,3700000,9300000,14,531,8300000,1000000,8900000,1900000, Rejected
2995,4, Not Graduate, Yes,8600000,21400000,14,476,6200000,2700000,28000000,12800000, Rejected
2996,4, Graduate, No,2600000,8500000,4,775,600000,3800000,10400000,2600000, Approved
2997,1, Not Graduate, Yes,7100000,18000000,20,477,6600000,13200000,19300000,9300000, Rejected
2998,4, Not Graduate, Yes,7000000,19800000,16,682,9300000,5300000,14500000,7300000, Approved
2999,5, Not Graduate, No,8300000,17700000,12,334,19600000,13200000,22500000,9800000, Rejected
3000,3, Graduate, Yes,6800000,23900000,12,565,18800000,2800000,18800000,6700000, Approved
3001,1, Not Graduate, Yes,9900000,25700000,2,340,15600000,18800000,29500000,11800000, Rejected
3002,2, Graduate, No,5100000,11000000,14,322,7900000,2900000,10700000,5900000, Rejected
3003,4, Graduate, Yes,3500000,10700000,8,883,200000,2300000,8400000,2000000, Approved
3004,3, Graduate, Yes,4300000,12800000,16,346,3300000,1100000,11900000,3800000, Rejected
3005,0, Graduate, Yes,5300000,20200000,2,861,500000,800000,16500000,6200000, Approved
3006,5, Graduate, Yes,6400000,21900000,12,699,15700000,500000,17200000,3800000, Approved
3007,0, Graduate, No,9300000,27200000,8,629,4500000,14300000,26900000,5000000, Approved
3008,3, Graduate, No,1100000,3100000,14,359,1500000,1000000,4000000,1000000, Rejected
3009,2, Not Graduate, No,7100000,27000000,10,430,20700000,8300000,24500000,4200000, Rejected
3010,4, Not Graduate, No,1100000,3300000,18,417,1400000,1000000,4200000,700000, Rejected
3011,2, Graduate, No,1900000,5200000,6,896,4300000,100000,6200000,2400000, Approved
3012,0, Not Graduate, No,1300000,3900000,16,690,3600000,1700000,4700000,800000, Approved
